彖	彑𧰨 hu
徵	彳王 rw
德	彳心 rx
徽	彳糸 rx
心	丶丶 dd
忉	忄刀 xd
忍	刃心 rx
忏	忄千 xq
忖	忄寸 xc
忘	亡心 wx
忞	文心 wx
忠	中心 vx
忤	忄午 xw
忪	忄公 xg
忮	忄支 xv
念	𠆢心 rx
忸	忄丑 xi
忺	忄欠 xq
忽	勿心 wx
忾	忄气 xq
忿	分心 fx
态	太心 tx
怂	人心 rx
怃	忄无 xw
怆	忄㔾 xv
怊	忄口 xk
怍	忄乍 xv
怎	乍心 vx
怏	忄央 xy
怒	女心 nx
怔	忄正 xv
怕	忄白 xb
怖	忄巾 xj
怙	忄古 xg
怜	忄龴 xs
怡	忄口 xk
怦	忄平 xp
性	忄生 xu
怩	忄匕 xb
怪	忄土 xt
怯	忄去 xq
怼	又心 yx
恁	亻心 rx
恂	忄日 xo
恃	忄寸 xc
恍	忄光 xg
恐	工心 gx
恓	忄西 xx
恔	忄父 xf
恕	女心 nx
恚	土心 tx
恝	丰心 fx
恢	忄火 xh
恣	冫心 dx
恤	忄皿 xm
恧	而心 ex
恩	因心 yx
恪	忄口 xk
恫	忄口 xk
恬	忄舌 xu
恰	忄口 xk
恸	忄力 xl
恹	忄犬 xq
恻	忄刂 xd
恽	忄车 xi
恿	龴心 sx
悃	忄木 xm
悄	忄⺝ xo
悆	𠆢心 rx
悍	忄干 xg
悚	忄束 xu
悝	忄里 xl
悟	忄口 xk
患	串心 ix
悦	忄兄 xx
您	亻心 rx
悫	士心 tx
悭	忄土 xt
悰	忄示 xu
悱	忄非 xf
悴	忄十 xu
悸	忄子 xz
悻	忄干 xg
悼	忄十 xu
情	忄⺝ xo
惆	忄口 xk
惇	忄子 xz
惊	忄小 xx
惋	忄㔾 xv
惑	戈心 gx
惔	忄火 xh
惕	忄勿 xw
惚	忄心 xx
惛	忄日 xo
惜	忄日 xo
惝	忄口 xk
惦	忄占 xv
惧	忄八 xb
惩	彳心 rx
惫	夂心 wx
惮	忄十 xu
惯	忄贝 xb
惰	忄月 xo
想	木心 mx
惴	忄而 xe
惶	忄王 xw
惺	忄生 xu
愀	忄火 xh
愆	彳心 rx
愈	𠆢心 rx
愉	忄刂 xd
愎	忄夂 xw
愐	忄面 xm
愔	忄日 xo
愚	田心 tx
感	戊心 wx
愣	忄方 xf
愤	忄贝 xb
愦	忄贝 xb
愧	忄鬼 xg
愫	忄糸 xx
愿	厂心 ix
慆	忄臼 xj
慈	丷心 bx
慊	忄兼 xj
慎	忄八 xb
慑	忄又 xy
慢	忄又 xy
慥	忄口 xk
慨	忄旡 xw
慬	忄王 xw
慰	尸心 ux
慷	忄隶 xl
憎	忄日 xo
憔	忄灬 xh
憙	士心 tx
憧	忄里 xl
憩	舌心 ux
憬	忄小 xx
憷	忄疋 xz
憾	忄心 xx
懂	忄重 xv
懈	忄牛 xn
懊	忄大 xd
懋	木心 mx
懑	氵心 dx
懒	忄贝 xb
懦	忄而 xe
戈	弋丿 yp
戎	戈十 gu
戏	又戈 yg
戗	𠆢戈 rg
戥	日戈 og
戭	宀戈 bg
戾	户犬 hq
房	户方 hf
扁	户卄 hc
扂	户占 hv
扃	户口 hk
扅	户夕 hx
扆	户衣 hy
扉	户非 hf
扊	户火 hh
扒	扌八 fb
打	扌丁 fd
扛	扌工 fg
扞	扌干 fg
扣	扌口 fk
扦	扌千 fq
扩	扌广 fg
扪	扌门 fm
扫	扌彐 fe
扭	扌丑 fi
扮	扌分 ff
扯	扌止 fv
扳	扌又 fy
扶	扌夫 ff
批	扌匕 fb
扼	扌㔾 fv
找	扌戈 fg
技	扌支 fv
把	扌巴 fb
抑	扌卩 fe
投	扌殳 fu
抗	扌几 fj
抚	扌无 fw
抛	扌力 fl
抡	扌仑 fl
抢	扌㔾 fv
护	扌户 fh
报	扌又 fy
抨	扌平 fp
披	扌皮 fp
抬	扌口 fk
抱	扌包 fb
抹	扌末 fw
拃	扌乍 fv
拄	扌主 fv
拈	扌占 fv
拉	扌立 fl
拊	扌寸 fc
拌	扌半 fb
拍	扌白 fb
拎	扌龴 fs
拐	扌力 fl
拓	扌石 fu
拗	扌力 fl
拘	扌句 fj
拙	扌出 fi
拚	扌廾 fc
招	扌口 fk
拟	扌人 fr
拦	扌兰 fl
拧	扌丁 fd
括	扌舌 fu
拭	扌工 fg
拮	扌口 fk
拱	扌共 fg
拴	扌王 fw
拶	扌夕 fx
拾	扌口 fk
持	扌寸 fc
挂	扌土 ft
指	扌日 fo
按	扌女 fn
挓	扌七 fq
挝	扌寸 fc
挞	扌大 fd
挟	扌夹 fj
挠	扌兀 fw
挡	扌彐 fe
挥	扌车 fi
挦	扌寸 fc
挪	扌⻏ fe
挫	扌人 fr
挺	扌𡈼 fw
挽	扌儿 fe
捂	扌口 fk
捃	扌口 fk
捆	扌木 fm
捉	扌足 fz
捌	扌刂 fd
捍	扌干 fg
捎	扌⺝ fo
捐	扌⺝ fo
捞	扌力 fl
损	扌贝 fb
换	扌人 fr
捣	扌山 fu
捭	扌十 fu
据	扌古 fg
捯	扌刂 fd
捶	扌士 ft
捷	扌龰 fz
捺	扌示 fu
捻	扌心 fx
捽	扌十 fu
掀	扌欠 fq
掂	扌占 fv
授	扌又 fy
掉	扌十 fu
掎	扌可 fk
排	扌非 ff
掘	扌出 fi
掞	扌火 fh
掠	扌小 fx
接	扌女 fn
控	扌工 fg
措	扌日 fo
掮	扌⺝ fo
掳	扌力 fl
掴	扌玉 fy
掷	扌⻏ fe
掸	扌十 fu
掼	扌贝 fb
揄	扌刂 fd
揉	扌木 fm
揍	扌天 ft
描	扌田 ft
提	扌龰 fz
握	扌土 ft
揣	扌而 fe
揩	扌白 fb
揪	扌火 fh
揳	扌大 fd
援	扌又 fy
揶	扌⻏ fe
揿	扌欠 fq
搁	扌口 fk
搂	扌女 fn
搋	扌几 fj
搒	扌方 ff
搓	扌工 fg
搛	扌兼 fj
搞	扌口 fk
搡	扌木 fm
搦	扌𢎥 fg
搪	扌口 fk
搬	扌殳 fu
搽	扌朩 fm
摁	扌心 fx
摄	扌又 fy
摅	扌心 fx
摆	扌去 fq
摇	扌缶 ff
摈	扌八 fb
摛	扌禸 fn
摞	扌糸 fx
摸	扌大 fd
摽	扌示 fu
撂	扌口 fk
撄	扌女 fn
撒	扌攵 fw
撖	扌攵 fw
撙	扌寸 fc
撞	扌里 fl
撤	扌攵 fw
播	扌田 ft
撮	扌又 fy
撰	扌共 fg
撷	扌页 fy
撸	扌日 fo
撼	扌心 fx
擀	扌干 fg
擂	扌田 ft
操	扌木 fm
擒	扌禸 fn
擞	扌攵 fw
擦	扌示 fu
擿	扌古 fg
攒	扌贝 fb
支	十又 uy
攸	亻攵 rw
攽	分攵 fw
故	古攵 gw
效	亠攵 ww
敉	米攵 mw
敏	𠂉攵 pw
敔	五攵 ww
教	耂攵 lw
敝	⺌攵 xw
敞	⺌攵 xw
散	卄攵 cw
敦	亠攵 ww
敩	𰃮攵 xw
敫	白攵 bw
数	米攵 mw
敱	山又 uy
斋	文而 we
斌	文止 wv
斎	齐示 qu
斑	𤣩文 ww
斷	𠃊斤 vj
旃	方丹 fd
旋	方疋 fz
旌	方生 fu
旎	方匕 fb
族	方矢 fu
旖	方可 fk
旗	方八 fb
旞	方豕 fu
早	日十 ou
旰	日干 og
旱	日干 og
旴	日于 oy
旵	日山 ou
时	日寸 oc
旷	日广 og
旺	日王 ow
旿	日午 ow
昀	日匀 oy
昂	日卩 oe
昄	日又 oy
昆	日匕 ob
昈	日户 oh
昉	日方 of
昊	日天 ot
昌	日曰 oo
明	日月 oo
昒	日勿 ow
易	日勿 ow
昙	日云 oy
昝	夂日 wo
星	日生 ou
映	日央 oy
昡	日玄 ox
昤	日龴 os
昧	日未 ow
昨	日乍 ov
昫	日句 oj
昭	日口 ok
昱	日立 ol
昳	日夫 of
昴	日卩 oe
昵	日匕 ob
昺	日内 on
晃	日光 og
晊	日土 ot
晌	日口 ok
晏	日女 on
晐	日人 or
晒	日西 ox
晓	日兀 ow
晔	日十 ou
晕	日车 oi
晖	日车 oi
晗	日口 ok
晙	日夂 ow
晚	日儿 oe
晞	日巾 oj
晢	扌日 fo
晤	日口 ok
晪	日八 ob
晫	日十 ou
景	日小 ox
晱	日火 oh
晴	日⺝ oo
晶	日日 oo
智	矢日 uo
晾	日小 ox
暂	车日 io
暌	日天 ot
暑	日日 oo
暖	日又 oy
暗	日日 oo
暧	日又 oy
暲	日十 ou
暴	日氺 ou
暵	日天 ot
暶	日疋 oz
暾	日攵 ow
暿	日口 ok
曈	日里 ol
曙	日日 oo
曛	日灬 oh
曝	日氺 ou
曼	⺜又 oy
最	日又 oy
朋	月月 oo
服	月又 oy
朏	月出 oi
朐	月句 oj
朔	屰月 no
朕	月天 ot
望	亡王 ww
木	十人 ur
朱	丿未 pw
朳	木八 mb
朸	木力 ml
机	木几 mj
权	木又 my
杄	木千 mq
杆	木干 mg
杌	木兀 mw
李	木子 mz
村	木寸 mc
杕	木大 md
杙	木弋 my
杜	木土 mt
杞	木己 mj
杠	木工 mg
条	夂木 wm
杩	木马 mm
杭	木几 mj
杲	日木 om
杳	木日 mo
杵	木午 mw
杷	木巴 mb
杻	木丑 mi
松	木公 mg
板	木又 my
构	木勾 mg
枇	木匕 mb
枉	木王 mw
枋	木方 mf
林	木木 mm
枘	木内 mn
枚	木攵 mw
枝	木支 mv
枞	木人 mr
枥	木力 ml
枪	木㔾 mv
枫	木风 mf
枯	木古 mg
枰	木平 mp
枳	木只 mv
架	力木 lm
枷	木口 mk
枸	木句 mj
枹	木包 mb
柁	木匕 mb
柃	木龴 ms
柄	木内 mn
柈	木半 mb
柏	木白 mb
柑	木甘 mg
柒	氵木 dm
柔	矛木 mm
柖	木口 mk
柘	木石 mu
柞	木乍 mv
柠	木丁 md
柯	木可 mk
柰	木示 mu
柱	木主 mv
柳	木卩 me
柴	止木 vm
柷	木兄 mx
柽	木土 mt
柿	木巾 mj
栅	木册 mc
标	木示 mu
栈	木戋 mj
栉	木𰆊 me
栋	木东 md
栌	木尸 mu
栏	木兰 ml
树	木寸 mc
栒	木日 mo
栓	木王 mw
栖	木西 mx
栗	覀木 xm
栝	木舌 mu
校	木父 mf
栩	木习 mx
株	木未 mw
栳	木老 ml
栴	木丹 md
核	木人 mr
栻	木工 mg
格	木口 mk
桂	木土 mt
桄	木光 mg
桅	木㔾 mv
桉	木女 mn
桎	木土 mt
桐	木口 mk
桔	木口 mk
桕	木臼 mj
桡	木兀 mw
桢	木贝 mb
档	木彐 me
桦	木十 mu
桧	木云 my
桨	丬木 lm
桩	木土 mt
桯	木王 mw
桴	木子 mz
梃	木𡈼 mw
梆	木⻏ me
梏	木口 mk
梓	木辛 mx
梗	木更 mg
梠	木口 mk
梢	木⺝ mo
梧	木口 mk
梴	木正 mv
梼	木寸 mc
梽	木心 mx
梾	木来 ml
梿	木车 mi
棁	木兄 mx
棂	木火 mh
棋	木八 mb
棍	木匕 mb
棕	木示 mu
棚	木月 mo
棣	木隶 ml
棤	木日 mo
棨	户木 hm
棪	木火 mh
棬	木㔾 mv
森	木木 mm
棰	木士 mt
棵	木果 mg
棹	木十 mu
椀	木㔾 mv
椁	木子 mz
椅	木可 mk
椆	木口 mk
椋	木小 mx
椐	木古 mg
椑	木十 mu
椒	木又 my
椟	木⺀ md
椠	车木 im
椤	木夕 mx
椰	木⻏ me
椴	木殳 mu
椿	木日 mo
楒	木心 mx
楔	木大 md
楗	木聿 my
楙	木木 mm
楞	木方 mf
楠	木干 mg
楣	木目 mo
楩	木更 mg
楪	木木 mm
楮	木日 mo
楯	木目 mo
楷	木白 mb
楸	木火 mh
楹	木皿 mm
楼	木女 mn
概	木旡 mw
榆	木刂 md
榇	木木 mm
榈	木口 mk
榍	木⺝ mo
榔	木⻏ me
榕	木谷 mg
榛	木禾 mh
榜	木方 mf
榨	木乍 mv
榭	木寸 mc
榴	木田 mt
榻	木习 mx
槁	木口 mk
槃	舟木 vm
槌	木㠯 ml
槎	木工 mg
槐	木鬼 mg
槚	木贝 mb
槛	木皿 mm
槟	木八 mb
槠	木日 mo
槱	木灬 mh
槽	木曰 mo
槿	木王 mw
樊	木大 md
樘	木土 mt
樟	木十 mu
模	木大 md
樨	木牛 mn
横	木八 mb
樯	木口 mk
樱	木女 mn
樵	木灬 mh
樽	木寸 mc
橄	木攵 mw
橞	木心 mx
橥	犭木 qm
橦	木里 ml
橱	木寸 mc
橹	木日 mo
檎	木禸 mn
檑	木田 mt
檞	木牛 mn
檠	艹木 cm
檫	木示 mu
欂	木寸 mc
欠	⺈人 dr
次	冫欠 dq
欢	又欠 yq
欸	厶欠 sq
欹	大欠 dq
欻	火欠 hq
款	士欠 tq
歆	立欠 lq
歇	曰欠 oq
歉	兼欠 jq
歌	可欠 kq
止	丨⺊ lb
此	止匕 vb
歧	止支 vv
死	歹匕 db
歼	歹千 dq
殂	歹且 dq
殃	歹央 dy
殆	歹口 dk
殉	歹日 do
殊	歹未 dw
残	歹戋 dj
殍	歹子 dz
殒	歹贝 db
殚	歹十 du
殡	歹八 db
殣	歹王 dw
殳	几又 jy
殿	尸殳 uu
毗	田匕 tb
氙	气山 qu
氛	气分 qf
氢	气𢀖 qj
氤	气因 qy
氦	气人 qr
氨	气女 qn
氪	气兄 qx
氮	气火 qh
氯	气⺢ qu
氰	气⺝ qo
氾	氵㔾 dv
汀	氵丁 dd
汁	氵十 du
汉	氵又 dy
汐	氵夕 dx
汕	氵山 du
汗	氵干 dg
汜	氵巳 ds
汝	氵女 dn
江	氵工 dg
汨	氵日 do
汪	氵王 dw
汭	氵内 dn
汶	氵文 dw
汽	氵气 dq
汾	氵分 df
沁	氵心 dx
沃	氵夭 dy
沄	氵云 dy
沅	氵元 dy
沆	氵几 dj
沇	氵允 dy
沏	氵刀 dd
沐	氵木 dm
沘	氵匕 db
沚	氵止 dv
沟	氵勾 dg
没	氵殳 du
沣	氵丰 df
沥	氵力 dl
沦	氵仑 dl
沧	氵㔾 dv
沨	氵风 df
沩	氵为 dw
沪	氵户 dh
沫	氵末 dw
沮	氵且 dq
沱	氵匕 db
河	氵可 dk
沺	氵田 dt
治	氵口 dk
沼	氵口 dk
沽	氵古 dg
沾	氵占 dv
沿	氵口 dk
泃	氵句 dj
泅	氵人 dr
泇	氵口 dk
泊	氵白 db
泐	氵力 dl
泔	氵甘 dg
法	氵去 dq
泖	氵卩 de
泗	氵四 ds
泙	氵平 dp
泚	氵匕 db
泞	氵丁 dd
泠	氵龴 ds
泡	氵包 db
波	氵皮 dp
泣	氵立 dl
泥	氵匕 db
注	氵主 dv
泪	氵目 do
泫	氵玄 dx
泮	氵半 db
泱	氵央 dy
泵	石水 uu
泸	氵尸 du
泾	氵𢀖 dj
洁	氵口 dk
洄	氵口 dk
洇	氵因 dy
洈	氵㔾 dv
洌	氵刂 dd
洎	氵自 dz
洑	氵犬 dq
洒	氵西 dx
洗	氵儿 de
洙	氵未 dw
洛	氵口 dk
洞	氵口 dk
洣	氵米 dm
洧	氵月 do
洨	氵父 df
洪	氵共 dg
洫	氵皿 dm
洱	氵耳 de
洳	氵口 dk
洵	氵日 do
洸	氵光 dg
洺	氵口 dk
活	氵舌 du
洼	氵土 dt
洽	氵口 dk
浃	氵夹 dj
浅	氵戋 dj
浆	丬水 lu
浇	氵兀 dw
浈	氵贝 db
浉	氵巾 dj
浊	氵虫 di
测	氵刂 dd
浍	氵云 dy
浏	氵刂 dd
浑	氵车 di
浒	氵午 dw
浔	氵寸 dc
浛	氵口 dk
浜	氵八 db
浞	氵足 dz
浠	氵巾 dj
浣	氵元 dy
浩	氵口 dk
浬	氵里 dl
浭	氵更 dg
浮	氵子 dz
浯	氵口 dk
浰	氵刂 dd
浲	氵丰 df
浴	氵谷 dg
浸	氵又 dy
浼	氵儿 de
消	氵⺝ do
涍	氵子 dz
涎	氵正 dv
涑	氵束 du
涘	氵矢 du
涛	氵寸 dc
涝	氵力 dl
涞	氵来 dl
涟	氵车 di
涢	氵贝 db
涣	氵人 dr
涤	氵木 dm
润	氵王 dw
涧	氵日 do
涩	氵止 dv
涮	氵刂 dd
涯	氵土 dt
涴	氵㔾 dv
涸	氵古 dg
淀	氵龰 dz
淆	氵月 do
淇	氵八 db
淋	氵木 dm
淌	氵口 dk
淑	氵又 dy
淖	氵十 du
淙	氵示 du
淜	氵月 do
淝	氵巴 db
淞	氵公 dg
淟	氵八 db
淡	氵火 dh
淬	氵十 du
淯	氵⺝ do
深	氵木 dm
淳	氵子 dz
淴	氵心 dx
混	氵匕 db
淼	水水 uu
清	氵⺝ do
渌	氵⺢ du
渍	氵贝 db
渎	氵⺀ dd
渔	氵鱼 dy
渚	氵日 do
渝	氵刂 dd
渟	氵丁 dd
渠	氵木 dm
渡	氵又 dy
渤	氵力 dl
渥	氵土 dt
渫	氵木 dm
渭	氵⺝ do
港	氵巳 ds
游	氵子 dz
渼	氵大 dd
湃	氵丰 df
湄	氵目 do
湉	氵舌 du
湍	氵而 de
湎	氵面 dm
湑	氵⺝ do
湓	氵皿 dm
湔	氵刂 dd
湖	氵月 do
湘	氵目 do
湜	氵龰 dz
湝	氵白 db
湟	氵王 dw
湫	氵火 dh
湲	氵又 dy
溁	氵木 dm
溃	氵贝 db
溅	氵戋 dj
溆	氵又 dy
溇	氵女 dn
溉	氵旡 dw
溍	氵日 do
溏	氵口 dk
源	氵小 dx
溜	氵田 dt
溞	氵虫 di
溠	氵工 dg
溢	氵皿 dm
溦	氵几 dj
溧	氵木 dm
溪	氵大 dd
溱	氵禾 dh
溴	氵犬 dq
溵	氵殳 du
溶	氵谷 dg
溹	氵糸 dx
溺	氵𢎥 dg
溻	氵习 dx
溽	氵寸 dc
滂	氵方 df
滃	氵习 dx
滇	氵八 db
滉	氵光 dg
滋	氵幺 dy
滍	氵虫 di
滑	氵⺼ do
滓	氵辛 dx
滕	月氺 ou
滘	氵口 dk
滞	氵巾 dj
滟	氵巴 db
滠	氵又 dy
满	氵两 dl
滢	氵玉 dy
滤	氵心 dx
滥	氵皿 dm
滦	氵木 dm
滧	氵攵 dw
滨	氵八 db
滪	氵页 dy
漂	氵示 du
漈	氵示 du
漉	氵鹿 dl
漋	氵生 du
漓	氵禸 dn
演	氵八 db
漕	氵曰 do
漖	氵攵 dw
漠	氵大 dd
漤	氵女 dn
漩	氵疋 dz
漫	氵又 dy
漯	氵糸 dx
漳	氵十 du
漴	氵示 du
漶	氵心 dx
漷	氵⻏ de
漹	氵灬 dh
潆	氵糸 dx
潇	氵八 db
潋	氵攵 dw
潘	氵田 dt
潜	氵曰 do
潞	氵口 dk
潟	氵灬 dh
潢	氵八 db
潭	氵十 du
潮	氵月 do
潲	氵⺝ do
潴	氵日 do
潵	氵攵 dw
潸	氵⺝ do
潼	氵里 dl
潽	氵日 do
澂	氵攵 dw
澈	氵攵 dw
澉	氵攵 dw
澛	氵日 do
澡	氵木 dm
澥	氵牛 dn
澪	氵龴 ds
澳	氵大 dd
濂	氵兼 dj
濋	氵疋 dz
濑	氵贝 db
濒	氵页 dy
濡	氵而 de
瀑	氵氺 du
瀚	氵习 dx
瀛	氵女 dn
灞	氵月 do
火	丷人 br
灯	火丁 hd
灶	火土 ht
灿	火山 hu
炁	旡灬 wh
炅	日火 oh
炆	火文 hw
炉	火户 hh
炊	火欠 hq
炎	火火 hh
炕	火几 hj
炝	火㔾 hv
炣	火可 hk
炫	火玄 hx
炭	山火 uh
炮	火包 hb
炯	火口 hk
炳	火内 hn
炷	火主 hv
炸	火乍 hv
炻	火石 hu
炽	火只 hv
烂	火兰 hl
烃	火𢀖 hj
烈	歹灬 dh
烔	火口 hk
烘	火共 hg
烙	火口 hk
烛	火虫 hi
烟	火因 hy
烠	火月 ho
烦	火页 hy
烧	火兀 hw
烨	火十 hu
烩	火云 hy
烫	氵火 dh
热	扌灬 fh
烯	火巾 hj
烶	火𡈼 hw
烷	火元 hy
烹	亠灬 wh
烻	火正 hv
烽	火丰 hf
焊	火干 hg
焌	火夂 hw
焐	火口 hk
焓	火口 hk
焕	火人 hr
焖	火心 hx
焗	火口 hk
焚	木火 mh
焜	火匕 hb
焞	火子 hz
焯	火十 hu
焱	火火 hh
然	𱼀灬 xh
煃	火土 ht
煅	火殳 hu
煋	火生 hu
煌	火王 hw
煎	丷灬 bh
煜	火立 hl
煞	⺈灬 dh
煟	火⺝ ho
煤	火木 hm
煦	日灬 oh
照	日灬 oh
煮	耂灬 lh
煲	亻火 rh
煳	火月 ho
煴	火皿 hm
煸	火卄 hc
煽	火习 hx
熄	火心 hx
熇	火口 hk
熊	厶灬 sh
熔	火谷 hg
熘	火田 ht
熛	火示 hu
熟	亠灬 wh
熠	火白 hb
熥	火用 hy
熨	尸火 uh
熵	火口 hk
燃	火灬 hh
燋	火灬 hh
燔	火田 ht
燚	火火 hh
燛	{⿾臣}火 ih
燠	火大 hd
燥	火木 hm
燧	火豕 hu
爆	火氺 hu
爇	艹灬 ch
爝	火寸 hc
爰	爫又 vy
爱	爫又 vy
爵	爫寸 vc
爷	父𰆊 fe
爸	父巴 fb
爹	父夕 fx
爻	乂乂 xx
爽	大乂 dx
牛	𠂉十 pu
牝	牜匕 nb
牟	厶牛 sn
牡	牜土 nt
牢	宀牛 bn
牥	牜方 nf
牧	牜攵 nw
物	牜勿 nw
牮	亻牛 rn
牯	牜古 ng
牲	牜生 nu
特	牜寸 nc
牺	牜西 nx
牾	牜口 nk
牿	牜口 nk
犄	牜可 nk
犇	牛牛 nn
犊	牜⺀ nd
犋	牜八 nb
犍	牜聿 ny
犏	牜卄 nc
犒	牜口 nk
犨	亻牛 rn
犯	犭㔾 qv
犴	犭干 qg
犷	犭广 qg
犸	犭马 qm
狁	犭允 qy
狂	犭王 qw
狃	犭丑 qi
狄	犭火 qh
狈	犭贝 qb
狍	犭包 qb
狗	犭句 qj
狙	犭且 qq
狝	犭小 qx
狞	犭丁 qd
狡	犭父 qf
狨	犭十 qu
狩	犭寸 qc
独	犭虫 qi
狭	犭夹 qj
狮	犭巾 qj
狯	犭云 qy
狱	犭犬 qq
狲	犭小 qx
狸	犭里 ql
狺	犭口 qk
猁	犭刂 qd
猄	犭小 qx
猇	犭几 qj
猊	犭儿 qe
猎	犭日 qo
猕	犭小 qx
猖	犭曰 qo
猗	犭可 qk
猛	犭皿 qm
猜	犭⺝ qo
猝	犭十 qu
猞	犭古 qg
猡	犭夕 qx
猢	犭月 qo
猩	犭生 qu
猪	犭日 qo
猫	犭田 qt
猬	犭⺝ qo
献	十犬 uq
猰	犭大 qd
猱	犭木 qm
猴	犭矢 qu
猷	丷犬 bq
猺	犭缶 qf
猾	犭⺼ qo
獍	犭儿 qe
獐	犭十 qu
獬	犭牛 qn
獯	犭灬 qh
玄	亠幺 wy
率	亠十 wu
王	一土 at
玎	𤣩丁 wd
玑	𤣩几 wj
玒	𤣩工 wg
玕	𤣩干 wg
玘	𤣩己 wj
玛	𤣩马 wm
玞	𤣩夫 wf
玟	𤣩文 ww
玢	𤣩分 wf
玤	𤣩丰 wf
玥	𤣩月 wo
玩	𤣩元 wy
玫	𤣩攵 ww
玭	𤣩匕 wb
玱	𤣩㔾 wv
玲	𤣩龴 ws
玳	𤣩弋 wy
玶	𤣩平 wp
玷	𤣩占 wv
玹	𤣩玄 wx
玻	𤣩皮 wp
玼	𤣩匕 wb
玿	𤣩口 wk
珀	𤣩白 wb
珂	𤣩可 wk
珇	𤣩且 wq
珈	𤣩口 wk
珊	𤣩册 wc
珋	𤣩卩 we
珏	𤣩玉 wy
珐	𤣩去 wq
珖	𤣩光 wg
珙	𤣩共 wg
珛	𤣩月 wo
珝	𤣩习 wx
珞	𤣩口 wk
珠	𤣩未 ww
珣	𤣩日 wo
珥	𤣩耳 we
珦	𤣩口 wk
珪	𤣩土 wt
珫	𤣩允 wy
珰	𤣩彐 we
珲	𤣩车 wi
珵	𤣩王 ww
珷	𤣩止 wv
珸	𤣩口 wk
珺	𤣩口 wk
珽	𤣩𡈼 ww
琀	𤣩口 wk
理	𤣩里 wl
琈	𤣩子 wz
琊	𤣩⻏ we
琎	𤣩井 wj
琏	𤣩车 wi
琐	𤣩贝 wb
琔	𤣩龰 wz
琚	𤣩古 wg
琡	𤣩又 wy
琥	𤣩几 wj
琦	𤣩可 wk
琨	𤣩匕 wb
琪	𤣩八 wb
琬	𤣩㔾 wv
琭	𤣩⺢ wu
琮	𤣩示 wu
琰	𤣩火 wh
琲	𤣩非 wf
琳	𤣩木 wm
琵	𤣩匕 wb
琼	𤣩小 wx
瑁	𤣩目 wo
瑂	𤣩目 wo
瑃	𤣩日 wo
瑅	𤣩龰 wz
瑆	𤣩生 wu
瑔	𤣩水 wu
瑖	𤣩殳 wu
瑗	𤣩又 wy
瑙	𤣩㐅 wx
瑚	𤣩月 wo
瑛	𤣩央 wy
瑜	𤣩刂 wd
瑝	𤣩王 ww
瑞	𤣩而 we
瑢	𤣩谷 wg
瑧	𤣩禾 wh
瑨	𤣩日 wo
瑬	氵玉 dy
瑭	𤣩口 wk
瑰	𤣩鬼 wg
瑱	𤣩八 wb
瑳	𤣩工 wg
瑶	𤣩缶 wf
瑷	𤣩又 wy
瑾	𤣩王 ww
璃	𤣩禸 wn
璇	𤣩疋 wz
璋	𤣩十 wu
璎	𤣩女 wn
璐	𤣩口 wk
璜	𤣩八 wb
璟	𤣩小 wx
璠	𤣩田 wt
璥	𤣩攵 ww
璪	𤣩木 wm
璲	𤣩豕 wu
瓀	𤣩而 we
瓒	𤣩贝 wb
甜	舌甘 ug
生	丿龶 pf
甡	生生 uu
甥	生力 ul
田	囗十 ku
男	田力 tl
町	田丁 td
畈	田又 ty
畋	田攵 tw
畎	田犬 tq
畔	田半 tb
畚	厶田 st
畤	田寸 tc
略	田口 tk
畦	田土 tt
畬	𠆢田 rt
畯	田夂 tw
畴	田寸 tc
畸	田可 tk
畹	田㔾 tv
疃	田里 tl
疑	匕疋 bz
疔	疒丁 bd
疖	疒𰆊 be
疝	疒山 bu
疢	疒火 bh
疤	疒巴 bb
疫	疒殳 bu
疬	疒力 bl
疭	疒人 br
疮	疒㔾 bv
疯	疒风 bf
疰	疒主 bv
疱	疒包 bb
疲	疒皮 bp
疳	疒甘 bg
疴	疒可 bk
疵	疒匕 bb
疽	疒且 bq
疾	疒矢 bu
痂	疒口 bk
痃	疒玄 bx
痄	疒乍 bv
病	疒内 bn
症	疒正 bv
痉	疒𢀖 bj
痊	疒王 bw
痍	疒夷 by
痓	疒土 bt
痔	疒寸 bc
痞	疒口 bk
痢	疒刂 bd
痣	疒心 bx
痤	疒人 br
痦	疒口 bk
痨	疒力 bl
痪	疒人 br
痫	疒木 bm
痰	疒火 bh
痱	疒非 bf
痴	疒口 bk
痼	疒古 bg
痿	疒女 bn
瘁	疒十 bu
瘅	疒十 bu
瘊	疒矢 bu
瘐	疒人 br
瘗	疒土 bt
瘘	疒女 bn
瘠	疒⺝ bo
瘢	疒殳 bu
瘤	疒田 bt
瘥	疒工 bg
瘪	疒仑 bl
瘭	疒示 bu
瘰	疒糸 bx
瘴	疒十 bu
瘵	疒示 bu
瘸	疒肉 br
瘼	疒大 bd
瘾	疒心 bx
瘿	疒女 bn
癀	疒八 bb
癃	疒生 bu
癌	疒山 bu
癍	疒文 bw
癔	疒心 bx
癗	疒田 bt
癞	疒贝 bb
癫	疒页 by
皂	白七 bq
皇	白王 bw
皈	白又 by
皋	白十 bu
皎	白父 bf
皓	白口 bk
皖	白元 by
皙	木白 mb
皛	白白 bb
皤	白田 bt
皭	白寸 bc
皲	冖皮 bp
皿	冂一 ka
盂	于皿 ym
盅	中皿 vm
盆	分皿 fm
益	丷皿 bm
盍	去皿 qm
盏	戋皿 jm
盐	土皿 tm
